name,tags
Counter-Strike: Global Offensive,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
Only Up!,"3D Platformer,Parkour,Difficult,Casual,Bullet Time,Adventure,Open World,Third Person,Physics,Psychological Horror,Exploration,Platformer,Story Rich,Arcade,Replay Value,Atmospheric,Roguelike,Cinematic,Simulation,Surreal"
Human: Fall Flat,"Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Action,Puzzle Platformer,Open World,Multiplayer,Local Co-Op,Indie,Comedy,Parkour,Local Multiplayer,Casual,Split Screen,3D Platformer,Singleplayer,Simulation"
Hunt: Showdown,"Open World,Tactical,Atmospheric,Multiplayer,Perma Death,FPS,Shooter,PvP,Survival Horror,Horror,Difficult,Online Co-Op,Western,Co-op,Battle Royale,Team-Based,Action,Gore,Zombies,First-Person"
BeamNG.drive,"Simulation,Driving,Physics,Destruction,Realistic,Automobile Sim,Open World,Sandbox,Racing,Moddable,Singleplayer,Multiplayer,Early Access,First-Person,Third Person,Exploration,Funny,Action,Adventure,Flight"
Euro Truck Simulator 2,"Driving,Transportation,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Family Friendly,Third Person,Adventure,Casual,Indie"
Terraria,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
Yet Another Zombie Survivors,"Action Roguelike,RPG,Roguelite,Bullet Hell,Zombies,3D,Horror,Team-Based,Casual,Controller,Isometric,Action,Early Access,Score Attack,Survival,Singleplayer,Dark,Modern,Post-apocalyptic,Cyberpunk"
Car For Sale Simulator 2023,"Immersive Sim,Driving,Trading,FPS,Automobile Sim,Life Sim,Simulation,3D,First-Person,Open World,Conversation,Realistic,Family Friendly,Cinematic,America,Modern,Singleplayer,Inventory Management,Early Access,Indie"
A Plague Tale: Requiem,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Emotional,Female Protagonist,Drama,Medieval,Historical,Singleplayer,Mystery,Narration"
Ready or Not,"Tactical,Realistic,FPS,Multiplayer,Shooter,Co-op,Singleplayer,First-Person,Action,Horror,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Early Access"
Phasmophobia,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Demons,Mystery,Detective,Early Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian"
Xenonauts 2,"Strategy,RPG,Turn-Based Strategy,Turn-Based Tactics,Turn-Based,Action,Simulation,Adventure,Sci-fi,Survival,Open World,Story Rich,Dark Fantasy,Singleplayer,City Builder,Tactical,Turn-Based Combat,War,Grand Strategy,Early Access"
Jagged Alliance 3,"Strategy,Tactical,Turn-Based Tactics,RPG,Turn-Based Strategy,Turn-Based Combat,Tactical RPG,Singleplayer,Strategy RPG,Co-op Campaign,Action,Loot,3D,Isometric,Classic,Turn-Based"
Punch Club 2: Fast Forward,"Time Management,Martial Arts,Resource Management,Adventure,Cyberpunk,Management,Sports,Pixel Graphics,Tactical RPG,Strategy RPG,Turn-Based Tactics,Nostalgia,RPG,1980s,1990's,Life Sim,Funny,Arcade,Combat,Retro"
DayZ,"Survival,Zombies,Multiplayer,Open World,Action,PvP,Shooter,Massively Multiplayer,Horror,Post-apocalyptic,Simulation,FPS,Early Access,First-Person,Survival Horror,Sandbox,Adventure,Co-op,Atmospheric,Indie"
NARAKA: BLADEPOINT,"Battle Royale,Multiplayer,Martial Arts,PvP,Female Protagonist,Action,Third Person,Survival,Character Customization,Hack and Slash,Massively Multiplayer,Fighting,Swordplay,Parkour,Adventure,Anime,Mature,Violent,Gore,Free to Play"
Team Fortress 2,"Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting"
PUBG: BATTLEGROUNDS,"Survival,Shooter,Battle Royale,Multiplayer,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth"
BattleBit Remastered,"FPS,Shooter,Multiplayer,Destruction,Massively Multiplayer,Military,PvP,Action,War,First-Person,Tactical,Team-Based,Combat,Class-Based,Character Customization,Early Access,Gun Customization,3D,Voxel,Indie"
Insurgency: Sandstorm,"FPS,Realistic,Shooter,Military,Multiplayer,Tactical,Action,First-Person,Online Co-Op,War,Co-op,Violent,Gore,Atmospheric,Difficult,Simulation,Open World,Massively Multiplayer,Indie,Choices Matter"
Hearts of Iron IV,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Competitive,Strategy RPG,Open World,Action"
Sons Of The Forest,"Survival,Open World,Multiplayer,Survival Horror,Co-op,Base Building,Crafting,Horror,First-Person,Exploration,Adventure,Building,Singleplayer,Atmospheric,Action-Adventure,Sandbox,Action,Simulation,Early Access,Immersive Sim"
Smalland: Survive the Wilds,"Early Access,Survival,Open World Survival Craft,Multiplayer,Base Building,Online Co-Op,Open World,Crafting,Building,Singleplayer,Exploration,Co-op,Sandbox,Adventure,RPG,Action-Adventure,Character Customization,Third Person,First-Person,City Builder"
Valheim,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Exploration,Base Building,Co-op,Sandbox,Adventure,Mythology,RPG,Early Access,Action,PvE,Indie,Singleplayer,Third Person"
Barotrauma,"Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Underwater,Simulation,Horror,Sci-fi,Management,Strategy,Action,Difficult,Gore,Moddable,Violent,Singleplayer,Early Access,Naval"
Viewfinder,"Puzzle Platformer,First-Person,Puzzle,Singleplayer,Psychological,3D Platformer,Dark Humor,Surreal,Action-Adventure,Adventure,Physics,Atmospheric,Narration,Exploration,Colorful,Story Rich,Abstract,Platformer,Stylized,Retro"
Raft,"Survival,Open World Survival Craft,Multiplayer,Co-op,Crafting,Open World,Building,Base Building,Online Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Early Access,Underwater,Simulation,Action,Indie,Strategy,Massively Multiplayer"
Maneater,"Dark Humor,Nature,Open World,Underwater,Singleplayer,Exploration,Female Protagonist,Violent,Action RPG,Third Person,Narration,Gore,Action-Adventure,Action,RPG,Simulation,Villain Protagonist,Atmospheric,Adventure,Satire"
Conan Exiles,"Survival,Open World,Nudity,Building,Open World Survival Craft,Crafting,Multiplayer,Sandbox,RPG,Massively Multiplayer,Adventure,Action,Online Co-Op,Exploration,Violent,Singleplayer,Co-op,Fantasy,Gore,PvP"
The Outlast Trials,"Early Access,Co-op,Survival Horror,Multiplayer,Horror,Psychological Horror,First-Person,PvE,Character Customization,Action-Adventure,Action,Stealth,Dark Humor,Survival,Alternate History,Realistic,Atmospheric,Dark,Science,Adventure"
Black Desert,"MMORPG,Massively Multiplayer,RPG,Open World,Character Customization,Adventure,Fantasy,Action,Strategy,3D,Atmospheric,Crafting,Medieval,Simulation,Magic,Cooking,Multiplayer,PvP,War,Combat"
Escape the Backrooms,"Horror,Multiplayer,Psychological Horror,Online Co-Op,First-Person,Survival Horror,Co-op,Adventure,Exploration,Action,Indie,Early Access,3D,VR,Escape Room,Singleplayer,Action-Adventure,Casual,Stealth,Dungeon Crawler"
Techtonica,"Simulation,Automation,Strategy,Building,Base Building,City Builder,Resource Management,Sandbox,Crafting,Management,Exploration,Immersive Sim,First-Person,Colorful,Sci-fi,Co-op,Multiplayer,Online Co-Op,Singleplayer,Early Access"
Contraband Police,"Open World,Action,First-Person,Multiple Endings,1980s,Realistic,Automobile Sim,Simulation,Singleplayer,Story Rich,FPS,Survival,Action-Adventure,Management,Immersive Sim,Detective,Physics,Destruction,Atmospheric,Indie"
